name,owner,num_songs,id,total_length_seconds
Kathleen deVere's recommended,Cynthia DiPaula,50,03Tq6Z3HLyyVZBh8H11HRg,15450
My Friends Saying Shit,Ari Zerner,6,0EPIjKwgwE62MqpFH2Hxvs,1731
Girl Rock,Allison Casey,173,0hLFKqKecW45e2OLfj8Nur,34416
Pop Punk Mix,Ari Zerner,47,0wvI58OThsFiaZsZwT8mUd,9849
Pop for Jess,Ari Zerner,25,0yGeBVMjz5CrjPj5WaSBpc,5136
Everyday Shuffle,Ari Zerner,2300,12y8LwAIfseptLQtxj90zE,491122
Chill,Ari Zerner,70,1J9it8n4fpJ5CCyTgCadur,18517
Anthems To Complain About The Government To,Ari Zerner,54,1KxVakh7GRU6TTnLlA56yY,11296
All the Hits,goobz24,1846,1PV3JKha5xncAJox0rRVLo,439388
Songs That Always Calm Me Down,Ari Zerner,16,1PydNhlTk0CzZxt2yBGShs,3784
Epic,Ari Zerner,92,1XLN1T8tPuJncrU6U50Uzf,19241
Test Playlist,Ari Zerner,1,1m8XCNnxyvZOmlZaX1YKTD,156
Songs I Like Singing,Ari Zerner,35,1y6KV77eEx2h27eA08Bvqj,6815
War,Ari Zerner,33,27iVjNYz97SXTnn7paDeyb,5935
Wake Me Up,Ari Zerner,4,2A4QfMe9pljcHIy8w4XUBN,1000
cooking and dancing in the kitchen ,Eubha,87,2StyJjLXTOXYOwlWPAoOQ2,20138
Trippy,Ari Zerner,186,2eVVzwBTp3E2SNieEbZI97,50405
My Shazam Tracks,Ari Zerner,8,2nNwXv8O04bzRrgtVmnIkn,1841
Classical,Ari Zerner,205,2tNWUTGiqbCKEjbayG2c3O,40557
Cyn turns 24,Ian Gallagher,86,2tWTZ5vXvXY1yffgjK6tVe,17990
*trash from the past,alexellis96,62,36xFsLoY1kDyp6MUS99rlO,12874
Summer Lounge 🍦 2024 Chill Vibes,Soave,200,38fBnemYrpIUWFRfDZYcog,33316
Shanties and Whatnot,Ari Zerner,16,3KPBugTrLMAtQDpiCSmllL,3066
Gym,Ari Zerner,39,3O8SOtDytD7zxKVlgBARL3,7915
The Quarantine Zone Collection,baldwintc,136,3n6lxnigF7Q3OXSdt7u4Jb,30914
Women of Rock/Metal,Rock Metal Fan Nation,379,3rQYLnEi6AQ1mqBlLi5zwu,88903
Google Music Thumbs Up Snapshot 2019-02-11,Ari Zerner,633,4FQQl0cZbMXdsFyHQP0mW2,146948
Music To Code By,Rafael Cardoso,91,4LnTQT9pZuyXG96WS9RNzU,30444
Songs That Absolutely Cum,Ari Zerner,49,4YujqSXvDygahcef1nK87T,10572
For Acid (pls shuffle),aelladawg,202,4dmGzrDcSFwQIgwx882Sv0,64628
Cities,Ari Zerner,6,4qio7xWUxKskY4f6iUPuQD,1078
Good Vibes,Ari Zerner,39,4s0fGX0J5j3XF9tEuh3MMa,8059
Songs I Added To This Playlist When I Was High,Ari Zerner,221,4woqh21t8qwQfCon6dqf20,47464
Cool Songs Without A Home,Ari Zerner,107,4xOwZYp1ZXw3r7IdCcrwLb,29069
Isidora,Ari Zerner,13,4yMMHrsEAQzYMOw1a79dM1,2581
Marching Songs,Ari Zerner,8,57xRnRyLeSwYsa72OJqrVN,1501
BANGERS ONYL,Cynthia DiPaula,120,5A5o1UR87WngQn6pp9uisU,26570
Diplomacy Anthems,Ari Zerner,7,5IaQonzIXcAqJFb9QsixIY,851
Fight Music,Ari Zerner,15,5bhmmSZ86J1Q3MhVIl7Ejd,3299
Insane Wizard Battle,dangreensmith,58,5nsYasVxxF4CTqiXz7Bqwk,15752
North Sea Tunes for Cyn,Ari Zerner,23,5ov7bm181JLk3a3UP5SAFw,5036
CynthiaihtnyC,Alex B,211,676u7rBqJTxtXAbpM0v5Yv,45286
Jakeup's Israeli Favorites,Jacob Falkovich,35,6ArfuTkUTJKBm3h1pwfnXV,8718
Dance With Me,Allison Casey,85,6J0oGKNWd6r6lvzcqzzkLZ,19068
Recs From Cyn,Ari Zerner,54,6jkfwP2QgP3JPbMZWfX3rZ,10702
Chill Spacey,Ari Zerner,100,6nyLUsY0rdDHFrBEo9FXLE,24440
Birthright SA-47-8,Shira Michaeli,218,7KaZEr1F628WhjIhK8Uy2Q,45031
Tea Time Tim Time,baldwintc,57,7sJimqtwZEZfaLOyRG2wUZ,16890
1990s-2000s europop!! ^_^,_zucchini_,108,7xV8UcuS8Y8Y9MxXMuznLx,23453
